"run","CapacityAtEnd (Stddev)"
"0","1.001"
"1","0.999"
"2","1.002"
"3","1"
"4","1"
"5","0.998"
"6","1.007"
"7","0.996"
"8","1.005"
"9","0.998"
"10","0.996"
"11","0.995"
"12","1.001"
"13","1.007"
"14","0.996"
"15","0.999"
"16","1"
"17","0.999"
"18","0.996"
"19","0.998"
"20","1.001"
"21","1"
"22","1.009"
"23","0.998"
"24","0.998"
"25","0.999"
"26","1.002"
"27","1.003"
"28","0.997"
"29","1.004"
"30","1.003"
"31","0.998"
"32","0.998"
"33","1"
"34","0.999"
"35","0.999"
"36","1.002"
"37","0.999"
"38","1.003"
"39","0.998"
"40","1.002"
"41","0.995"
"42","0.999"
"43","1"
"44","0.997"
"45","1.003"
"46","1.002"
"47","0.999"
"48","0.998"
"49","1.001"
"50","0.999"
"51","0.998"
"52","0.997"
"53","0.999"
"54","0.996"
"55","0.998"
"56","0.999"
"57","0.998"
"58","1.001"
"59","0.999"
"60","0.997"
"61","1.002"
"62","1.001"
"63","0.995"
"64","1.009"
"65","1"
"66","1.006"
"67","0.996"
"68","1.002"
"69","0.997"
"70","1.002"
"71","1"
"72","0.998"
"73","0.998"
"74","0.994"
"75","0.998"
"76","0.995"
"77","0.999"
"78","0.995"
"79","0.997"
"80","0.999"
"81","1.002"
"82","0.996"
"83","1.003"
"84","1.002"
"85","1"
"86","0.997"
"87","0.999"
"88","1.007"
"89","1.005"
"90","0.996"
"91","0.999"
"92","1"
"93","1.004"
"94","0.996"
"95","1.005"
"96","0.999"
"97","1"
"98","0.999"
"99","1.001"
"mean","0.99973"
"min","0.994"
"max","1.009"
"lower","0.999104537334737"
"upper","1.00035546266526"
"error","0.000625462665262644"
