"run","RTT (Seconds)"
"0","0.00264664"
"1","0.00311597"
"2","0.00287042"
"3","0.00272892"
"4","0.00292194"
"5","0.00276856"
"6","0.00283407"
"7","0.00288355"
"8","0.00325205"
"9","0.00311746"
"10","0.00256633"
"11","0.00304901"
"12","0.00284801"
"13","0.00295778"
"14","0.00254039"
"15","0.00285156"
"16","0.00305171"
"17","0.00253578"
"18","0.00276139"
"19","0.00294759"
"20","0.00273435"
"21","0.0026558"
"22","0.00276963"
"23","0.00268231"
"24","0.00271162"
"25","0.00255107"
"26","0.0027607"
"27","0.00282776"
"28","0.00248997"
"29","0.00254526"
"30","0.00277239"
"31","0.00321287"
"32","0.00280703"
"33","0.00242291"
"34","0.00300467"
"35","0.00278109"
"36","0.00286498"
"37","0.00275726"
"38","0.00284589"
"39","0.00269125"
"40","0.00304188"
"41","0.00280454"
"42","0.00277583"
"43","0.00292865"
"44","0.00279912"
"45","0.00261703"
"46","0.00286443"
"47","0.00289156"
"48","0.00302503"
"49","0.00256832"
"50","0.00274739"
"51","0.00262098"
"52","0.00257657"
"53","0.00281783"
"54","0.00291601"
"55","0.00434696"
"56","0.00304065"
"57","0.0026718"
"58","0.00334195"
"59","0.00288106"
"60","0.00268776"
"61","0.131409"
"62","0.00291478"
"63","0.00250237"
"64","0.0027503"
"65","0.00256525"
"66","0.00266342"
"67","0.00269991"
"68","0.00251132"
"69","0.00288197"
"70","0.0033038"
"71","0.00277775"
"72","0.00287866"
"73","0.00292886"
"74","0.00269173"
"75","0.00288414"
"76","0.00288686"
"77","0.00294333"
"78","0.0025708"
"79","0.00283765"
"80","0.0027283"
"81","0.00261547"
"82","0.00278173"
"83","0.002699"
"84","0.00252817"
"85","0.00284234"
"86","0.142115"
"87","0.170742"
"88","0.00284426"
"89","0.00293317"
"90","0.00244867"
"91","0.00275055"
"92","0.00244992"
"93","0.00236372"
"94","0.00333054"
"95","0.00269704"
"96","0.0026265"
"97","0.00321119"
"98","0.0029102"
"99","0.00296447"
"mean","0.0071728743"
"min","0.00236372"
"max","0.170742"
"lower","0.00219746057803824"
"upper","0.0121482880219618"
"error","0.00497541372196176"
